Time (s),Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Absolute acceleration,gyroscope x,gyroscope y,gyroscope z,Absolute gyroscope,Speed (m/s),label_code,label_desc,source_file,global_index
0.83961621,-0.6966348886,6.552546024,-0.005932807922,6.589476062,-0.0547279194,0.1346226931,-0.03368896246,0.149175604,5.77531914893617,PLN,Normal Riding,PLN_R_1.csv,23
0.874464699,-0.4513797462,-0.7067760229,8.303416252,8.345657402,-0.0589889735,0.1463405937,-0.1890842915,0.246268426,5.78468085106383,PLN,Normal Riding,PLN_R_1.csv,24
0.90936371,-2.24777317,-0.3311981559,4.156975746,4.737364647,-0.4563323259,0.1814942956,0.02277000993,0.4916277498,5.794042553191489,PLN,Normal Riding,PLN_R_1.csv,25
0.944284283,-4.599606991,-1.538932085,6.815888405,8.365466585,-0.3348922431,-0.04527370632,0.05366265774,0.342172769,5.8034042553191485,PLN,Normal Riding,PLN_R_1.csv,26
0.979136678,2.111786842,-6.28922081,3.935148239,7.713581122,-0.1644500792,-0.1752358675,-0.103863202,0.2617995465,5.812765957446809,PLN,Normal Riding,PLN_R_1.csv,27
1.014038658,5.161898136,-3.430435658,6.574794769,9.035541347,-0.1676458716,-0.04420844093,0.08881635964,0.1948021311,5.822127659574468,PLN,Normal Riding,PLN_R_1.csv,28
1.048927043,-1.322348833,1.659992456,-2.793543339,3.508285304,-0.4360923171,0.0813595131,0.1964079887,0.4851514995,5.831489361702127,PLN,Normal Riding,PLN_R_1.csv,29
1.083822824,1.942478776,-11.20203876,7.638623238,13.69698731,-0.3764375448,-0.08681898564,0.2581932843,0.4646574367,5.8408510638297875,PLN,Normal Riding,PLN_R_1.csv,30
1.118717668,4.728615284,-8.752465248,5.027147293,11.14619488,-0.04314317927,-0.0836231932,-0.01025316212,0.09465357728,5.850212765957447,PLN,Normal Riding,PLN_R_1.csv,31
1.153612512,6.659349918,-1.867019534,4.791471481,8.413732955,-0.1250353158,0.2422143221,-0.1464737505,0.3094449347,5.859574468085106,PLN,Normal Riding,PLN_R_1.csv,32
1.188496522,-4.431109428,1.573561549,-2.749130726,5.446884106,-0.2997385561,0.1644500792,0.04940159991,0.345438198,5.868936170212766,PLN,Normal Riding,PLN_R_1.csv,33
1.22338121,5.12933588,-14.09342384,9.275524139,17.63434235,-0.07603318989,-0.2689790726,0.1452753246,0.3150169954,5.878297872340426,PLN,Normal Riding,PLN_R_1.csv,34
1.258289074,6.207582951,2.41200161,-1.487487793,6.823815486,0.4010717571,0.1452753246,-0.3904191256,0.5782651363,5.887659574468085,PLN,Normal Riding,PLN_R_1.csv,35
1.293164022,2.871404648,3.022739887,-2.369186878,4.795306825,0.2487390637,0.07709845901,-0.3020022511,0.3987739384,5.897021276595744,PLN,Normal Riding,PLN_R_1.csv,36
1.32805246,4.864019394,-4.641797543,-1.534883976,6.89643661,0.01757685095,0.148471117,-0.0006657897611,0.1495094029,5.906382978723404,PLN,Normal Riding,PLN_R_1.csv,37
1.362941106,-0.4246857464,-0.8838462234,-5.105967999,5.199274116,0.07297056168,0.2731069624,-0.0878842473,0.296033371,5.915744680851064,PLN,Normal Riding,PLN_R_1.csv,38
1.397841314,-3.703467607,3.580669165,0.6047296524,5.186767967,-0.09627319872,0.1452753246,-0.1954758763,0.2618859808,5.925106382978723,PLN,Normal Riding,PLN_R_1.csv,39
1.433077043,1.357149839,-2.822874069,5.685933113,6.491556752,0.06977476925,-0.1411474347,-0.3265033066,0.362485208,5.934468085106383,PLN,Normal Riding,PLN_R_1.csv,40
1.468009178,8.761190414,-0.01236894727,-1.636200428,8.912674251,0.07936213911,0.01118526794,-0.3605917394,0.3693912044,5.943829787234042,PLN,Normal Riding,PLN_R_1.csv,41
1.502647876,5.086889744,-5.000552654,-0.6697235107,7.164530947,-0.1506016403,0.3050648868,-0.05712476373,0.3449763439,5.953191489361702,PLN,Normal Riding,PLN_R_1.csv,42
1.537773293,-7.726884365,-0.1286195815,2.272066116,8.055033794,-0.3167827725,0.05792371184,-0.5065328479,0.6002349601,5.962553191489362,PLN,Normal Riding,PLN_R_1.csv,43
1.572353293,7.937705517,-11.50016594,5.587529182,15.04930124,-0.2720417082,-0.4490086138,0.02063948289,0.5253964356,5.971914893617021,PLN,Normal Riding,PLN_R_1.csv,44
1.607446783,12.33237743,-8.812655449,6.053696632,16.3216933,0.2061285079,-0.3275685608,0.01850895584,0.3874696185,5.9812765957446805,PLN,Normal Riding,PLN_R_1.csv,45
1.642388814,0.2976076603,4.04344511,-3.926196098,5.643849261,-0.04846949503,-0.02077264152,-0.3318296373,0.3359936052,5.990638297872341,PLN,Normal Riding,PLN_R_1.csv,46
1.676975845,3.091232538,-1.300837398,2.399745941,4.123915266,-0.1239700541,0.3167827725,-0.4777707458,0.5865021609,6.0,PLN,Normal Riding,PLN_R_1.csv,47
1.711863085,-4.129214287,-4.094401836,0.1248054504,5.816365998,0.2093243003,-0.1198421568,-0.1528653353,0.2855636811,6.0,PLN,Normal Riding,PLN_R_1.csv,48
1.746758606,3.020811081,5.893717289,-3.774671555,7.6229488,-0.01012000442,-0.03142527863,-0.114515841,0.119179866,6.0,PLN,Normal Riding,PLN_R_1.csv,49
1.781648658,4.261682034,0.9958186746,-3.044309139,5.331173109,0.3712443709,-0.1326253265,-0.3126548827,0.5031549819,6.0,PLN,Normal Riding,PLN_R_1.csv,50
1.816530689,2.780012846,-1.706372499,3.51725769,4.79700742,0.02929474972,-0.1731053442,-0.01771000773,0.1764576066,6.0,PLN,Normal Riding,PLN_R_1.csv,51
1.851420793,1.297245026,1.036166787,1.744480133,2.40825605,0.2008021921,0.2997385561,-0.22210747,0.4236702145,6.0,PLN,Normal Riding,PLN_R_1.csv,52
1.886290637,-8.009760857,7.179224968,-2.860223293,11.13006817,0.2114548385,0.148471117,-0.37870121,0.4584445744,6.0,PLN,Normal Riding,PLN_R_1.csv,53
1.921209803,-3.914483786,10.33505535,-7.674271584,13.45477598,0.03036001325,0.2006690353,-0.2178464085,0.2977362085,6.0,PLN,Normal Riding,PLN_R_1.csv,54
1.956083345,-3.435778141,1.776788473,1.835910797,4.281602173,0.1784316599,0.2368880063,-0.02516685426,0.2976359443,6.0,PLN,Normal Riding,PLN_R_1.csv,55
1.990953241,-8.895359039,6.586627483,-7.805531502,13.54390623,-0.1335574239,-0.01118526794,-0.1752358675,0.2206134741,6.0,PLN,Normal Riding,PLN_R_1.csv,56
2.025875324,2.993377447,4.626519203,2.429387093,6.022201435,-0.01651158556,0.2070606202,-0.4063980877,0.4564056733,6.0,PLN,Normal Riding,PLN_R_1.csv,57
2.060768241,-4.901062965,3.019545078,5.43718338,7.918398435,0.1656484902,0.1324921697,-0.3041327596,0.3707968889,6.0,PLN,Normal Riding,PLN_R_1.csv,58
2.09598246,-4.218140602,4.106825829,-2.54051733,6.411938617,-0.1996037811,-0.2274337858,-0.2966759205,0.4237739942,6.0,PLN,Normal Riding,PLN_R_1.csv,59
2.13056246,6.297989845,2.201886892,-0.7326383591,6.71191038,-0.02929474972,-0.02716422267,-0.3179811835,0.320481061,6.0,PLN,Normal Riding,PLN_R_1.csv,60
2.165418606,-1.579998851,-5.893369198,2.741607666,6.68914116,-0.177233234,-0.179496929,-0.2082590461,0.3271125144,6.0,PLN,Normal Riding,PLN_R_1.csv,61
2.200339491,1.470702648,-2.247641563,-0.3996229172,2.715613624,-0.2326269448,-0.307328552,-0.1017326787,0.3986422861,6.0,PLN,Normal Riding,PLN_R_1.csv,62
2.23557246,6.271145821,-3.196901083,-0.598405838,7.064385039,0.1368863732,-0.22210747,-0.06245107949,0.268271774,6.0,PLN,Normal Riding,PLN_R_1.csv,63
2.27015246,2.437900066,-6.417324066,-0.153301239,6.866506111,-0.2432795912,-0.243412748,0.08349003643,0.3541261238,6.0,PLN,Normal Riding,PLN_R_1.csv,64
2.304999908,1.217179894,-2.296185732,-2.981746197,3.955351589,0.1027979404,0.03981423005,-0.2189116776,0.2451018402,6.0,PLN,Normal Riding,PLN_R_1.csv,65
2.339873085,-2.206564903,-2.303487539,-0.08054256439,3.190841679,0.2870885432,-0.150734812,-0.1518000662,0.358028037,6.0,PLN,Normal Riding,PLN_R_1.csv,66
2.374805637,-0.2398829758,0.5260338783,-1.4874897,1.595895075,0.2806969583,-0.2743053734,-0.2125200927,0.4463171631,6.013076928961539,PLN,Normal Riding,PLN_R_1.csv,67
2.409694022,-2.090824842,11.99273682,-7.772229195,14.44315864,-0.05579318479,0.004793686327,-0.07097318769,0.09040493497,6.026153857923077,PLN,Normal Riding,PLN_R_1.csv,68
2.444695376,2.184154034,-3.294695139,2.739967346,4.809674205,-0.01225053146,-0.1965411454,-0.05819002539,0.2053401481,6.039230786884615,PLN,Normal Riding,PLN_R_1.csv,69
2.479803137,3.486302137,-1.482649207,0.4879522324,3.819770758,0.2391516864,-0.3712443709,-0.128364265,0.4598840034,6.052307715846154,PLN,Normal Riding,PLN_R_1.csv,70
2.514383137,6.677699089,-2.543786049,4.148728371,8.262836055,0.1848232448,-0.2274337858,-0.0049268445,0.2931041326,6.0653846448076925,PLN,Normal Riding,PLN_R_1.csv,71
2.549541158,-2.942263126,0.05772134662,4.774868011,5.608886573,-0.1431448013,-0.5118591785,-0.07723161578,0.5370800455,6.078461573769231,PLN,Normal Riding,PLN_R_1.csv,72
2.584121158,3.944508553,-8.802394867,7.788336754,12.39755994,-0.2816290855,-0.5436839461,0.1751027107,0.6368423152,6.091538502730769,PLN,Normal Riding,PLN_R_1.csv,73
2.619035585,2.983181,-8.195948601,3.963665962,9.580375264,-0.3402185738,-0.4394212663,0.09201214463,0.5632991763,6.104615431692308,PLN,Normal Riding,PLN_R_1.csv,74
2.653896783,1.614470363,-4.978638172,5.042154312,7.267508012,-0.1452753246,-0.5277049541,0.2518016994,0.6024794888,6.117692360653846,PLN,Normal Riding,PLN_R_1.csv,75
2.688783762,1.527162433,-13.52085781,2.954530716,13.92390293,-0.284824878,-0.7514103651,0.4902876019,0.9413419573,6.130769289615385,PLN,Normal Riding,PLN_R_1.csv,76
2.723691522,11.08541584,-9.343441963,2.753699303,14.75700552,0.06018739566,-0.6150565743,0.1463405937,0.635084783,6.143846218576923,PLN,Normal Riding,PLN_R_1.csv,77
2.758561783,6.013455391,-2.643167019,-4.510246277,7.968080014,0.05592634156,-0.2625874877,0.2113216817,0.3416676712,6.156923147538461,PLN,Normal Riding,PLN_R_1.csv,78
2.793454491,-1.611222029,-6.355441093,2.381364822,6.975569248,-0.1292963773,-0.3627222776,-0.003861580743,0.3850972808,6.1700000765,PLN,Normal Riding,PLN_R_1.csv,79
2.828504543,7.602676392,-8.572958946,2.75741291,11.78556912,0.4852275848,-0.3456780612,0.03981423005,0.5970965617,6.183077005461539,PLN,Normal Riding,PLN_R_1.csv,80
2.863410585,0.953473568,-2.675069809,-0.273771286,2.853079222,-0.5957486629,-0.4245075583,0.1932121962,0.7566069582,6.196153934423077,PLN,Normal Riding,PLN_R_1.csv,81
2.898125585,12.47059536,-9.489151001,12.96055889,20.3355802,-0.1474058628,-0.3392864764,0.1367532164,0.3943922459,6.209230863384615,PLN,Normal Riding,PLN_R_1.csv,82
2.933000272,-1.736559153,0.003340244293,0.05823993683,1.737538701,-0.06644582003,-0.257261157,0.1410142779,0.3008045487,6.222307792346154,PLN,Normal Riding,PLN_R_1.csv,83
2.967885845,0.4273383617,-5.007514,4.466908455,6.723918923,0.1113200486,-0.293480128,0.2443448454,0.3977777549,6.2353847213076925,PLN,Normal Riding,PLN_R_1.csv,84
3.002811887,-0.2841877937,2.870833635,0.9855499268,3.048566404,0.009054740891,-0.1613874435,0.1601890177,0.2275706849,6.248461650269231,PLN,Normal Riding,PLN_R_1.csv,85
3.037670845,-1.139514446,1.152506948,0.8190011978,1.815909799,0.2668485343,0.0813595131,0.05153212696,0.2836953838,6.261538579230769,PLN,Normal Riding,PLN_R_1.csv,86
3.072602564,-7.987415314,4.91990757,-6.01976347,11.14638265,0.2487390637,-0.1613874435,0.1282311082,0.3230483646,6.274615508192308,PLN,Normal Riding,PLN_R_1.csv,87
3.107463501,3.166876078,3.214083672,-0.9958105087,4.620722509,0.2700443268,-0.1997369379,0.1527321786,0.3689795403,6.287692437153846,PLN,Normal Riding,PLN_R_1.csv,88
3.142581731,-2.471578121,5.290231705,-9.692481041,11.31545132,0.512791276,-0.1251684725,-0.03155843541,0.5287891584,6.300769366115385,PLN,Normal Riding,PLN_R_1.csv,89
3.177560585,0.3067867756,7.785638809,-6.566982269,10.18997281,-0.1250353158,0.1527321786,0.2251701057,0.2994370135,6.313846295076923,PLN,Normal Riding,PLN_R_1.csv,90
3.212160272,-0.9017032385,-3.98395586,8.761967659,9.667318671,0.1336905807,0.1388837546,-0.05392897129,0.2001754296,6.326923224038461,PLN,Normal Riding,PLN_R_1.csv,91
3.247023033,-7.304004669,12.44408321,-7.116436958,16.08873414,0.3968107104,0.248605907,-0.1986716688,0.508659089,6.340000153,PLN,Normal Riding,PLN_R_1.csv,92
3.281974751,-8.768364906,6.181941032,0.4683456421,10.73871341,0.02290316857,0.1154479459,0.08029424399,0.1424778894,6.340000153,PLN,Normal Riding,PLN_R_1.csv,93
3.317076418,-2.505892515,4.023588657,5.449687958,7.222732296,-0.3583280444,0.2155827284,0.2230395675,0.4739425586,6.340000153,PLN,Normal Riding,PLN_R_1.csv,94
3.351728553,-6.961543083,-3.44897604,12.39330673,14.62711761,-0.1356879622,-0.114515841,0.2091911435,0.2743830087,6.337407554037037,PLN,Normal Riding,PLN_R_1.csv,95
3.386619178,-0.09467124939,0.09834232926,4.036083221,4.03839097,0.2679138184,-0.2487390637,-0.02942790836,0.3667627812,6.334814955074074,PLN,Normal Riding,PLN_R_1.csv,96
